序号,网站标识码,网站名称,首页网址,网站主管单位,网站状态
1,bm01000001,中国政府网,http://www.gov.cn/,中国政府网运行中心,正常
2,bm02000004,外交部网站,http://www.fmprc.gov.cn/;http://www.mfa.gov.cn/,外交部办公厅,正常
3,bm02000008,中国领事服务网,http://cs.mfa.gov.cn/,中华人民共和国外交部领事司,正常
4,bm04000007,国家发展改革委门户网站,http://www.ndrc.gov.cn,国家发展改革委办公厅,正常
5,bm04000008,全国公共资源交易平台,http://www.ggzy.gov.cn/,国家发展和改革委员会办公厅,正常
6,bm04000009,信用中国,http://www.creditchina.gov.cn/,国家公共信用信息中心,正常
7,bm04000010,全国投资项目在线审批监管平台互联网网站,http://www.tzxm.gov.cn,国家发展改革委,正常
8,bm05000001,教育部政府门户网站,http://www.moe.gov.cn,教育部办公厅,正常
9,bm05000002,教育部中国大学生在线,https://dxs.moe.gov.cn,教育部思想政治工作司,正常
10,bm05000005,中华人民共和国教育部教育涉外监管信息网,http://jsj.moe.gov.cn/,教育部国际合作与交流司（港澳台事务办公室）,正常
11,bm05000011,教育部全国青少年普法网,http://qspfw.moe.gov.cn/index.html,教育部政策法规司,正常
12,bm06000001,中华人民共和国科学技术部,http://www.most.gov.cn/,科技部办公厅,正常
13,bm06000003,中国国际科技合作网,http://www.cistc.gov.cn,科技部国际合作司,正常
14,bm06000004,中国科普网,http://www.kepu.gov.cn,中华人民共和国科学技术部科技人才与科学普及司,正常
15,bm06000005,国家科学技术奖励工作办公室,https://www.nosta.gov.cn,国家科学技术奖励工作办公室,正常
16,bm07000001,中华人民共和国工业和信息化部网站,https://www.miit.gov.cn,工业和信息化部,正常
17,bm07010001,北京市通信管理局,https://bjca.miit.gov.cn/,北京市通信管理局,正常
18,bm07020001,天津市通信管理局,http://tjca.miit.gov.cn/,天津市通信管理局,正常
19,bm07030001,河北省通信管理局门户网站,http://hbca.miit.gov.cn,河北省通信管理局,正常
20,bm07040001,山西省通信管理局,https://sxca.miit.gov.cn/,山西省通信管理局,正常
21,bm07050001,内蒙古自治区通信管理局门户网站,nmca.miit.gov.cn,内蒙古自治区通信管理局,正常
22,bm07060001,辽宁省通信管理局,http://lnca.miit.gov.cn/,工业和信息化部,正常
23,bm07070001,吉林省通信管理局,http://jlca.miit.gov.cn,吉林省通信管理局,正常
24,bm07080001,黑龙江省通信管理局官网,http://hljca.miit.gov.cn/,黑龙江省通信管理局,正常
25,bm07090001,上海市通信管理局官网,https://shca.miit.gov.cn/,上海市通信管理局,正常
26,bm07100001,江苏省通信管理局,https://jsca.miit.gov.cn,江苏省通信管理局,正常
27,bm07110001,浙江省通信管理局,https://zjca.miit.gov.cn/,浙江省通信管理局,正常
28,bm07120001,安徽省通信管理局网站,http://ahca.miit.gov.cn,安徽省通信管理局,正常
29,bm07130001,福建省通信管理局官方网站,http://fjca.miit.gov.cn,福建省通信管理局,正常
30,bm07140001,江西省通信管理局,jxca.miit.gov.cn,江西省通信管理局,正常
31,bm07150002,山东省通信管理局,http://sdca.miit.gov.cn/,山东省通信管理局,正常
32,bm07160001,河南省通信管理局,http://hca.miit.gov.cn/,河南省通信管理局,正常
33,bm07170001,湖北省通信管理局,http://hubca.miit.gov.cn,湖北省通信管理局,正常
34,bm07180001,湖南省通信管理局,http://hunca.miit.gov.cn/,湖南省通信管理局,正常
35,bm07190001,广东省通信管理局,https://gdca.miit.gov.cn/,广东省通信管理局,正常
36,bm07200001,海南省通信管理局,http://hnca.miit.gov.cn,海南省通信管理局,正常
37,bm07210001,广西壮族自治区通信管理局门户网站,gxca.miit.gov.cn,广西壮族自治区通信管理局,正常
38,bm07220001,四川省通信管理局,https://scca.miit.gov.cn,四川省通信管理局,正常
39,bm07230001,贵州省通信管理局,https://gzca.miit.gov.cn/,贵州省通信管理局,正常
40,bm07240001,重庆市通信管理局,http://cqca.miit.gov.cn/,重庆市通信管理局,正常
41,bm07250001,云南省通信管理局,https://ynca.miit.gov.cn/,云南省通信管理局,正常
42,bm07260001,西藏自治区通信管理局,http://xzca.miit.gov.cn,西藏自治区通信管理局,正常
43,bm07270001,陕西省通信管理局,http://shxca.miit.gov.cn,陕西省通信管理局,正常
44,bm07280001,甘肃省通信管理局,http://gsca.miit.gov.cn,甘肃省通信管理局,正常
45,bm07290001,青海省通信管理局,https://qhca.miit.gov.cn/,青海省通信管理局,正常
46,bm07300001,宁夏回族自治区通信管理局,http://nxca.miit.gov.cn,宁夏回族自治区通信管理局,正常
47,bm07310001,新疆维吾尔自治区通信管理局,https://xjca.miit.gov.cn/,新疆维吾尔自治区通信管理局,正常
48,bm08000014,国家民委网站,http://www.neac.gov.cn,国家民委舆情中心,正常
49,bm09000001,公安部举报中心,http://www.12389.gov.cn/,公安部警务督察局,例外
50,bm09000004,应急管理部消防救援局,http://www.119.gov.cn,应急管理部消防救援局,正常
51,bm09000011,网络违法犯罪举报网站,http://cyberpolice.mps.gov.cn/,公安部网络安全保卫局,正常
52,bm09000013,中华人民共和国公安部,http://www.mps.gov.cn,公安部办公厅,正常
53,bm09000025,天津出入境边防检查总站,http://tianjin.nia.gov.cn,天津出入境边防检查总站,正常
54,bm09000026,全国公安机关互联网安全管理服务平台,http://www.beian.gov.cn,公安部十一局,正常
55,bm09000027,公安部互联网交通安全综合服务管理平台,http://www.122.gov.cn,公安部交管局,正常
56,bm12000003,民政部门户网站,http://www.mca.gov.cn/,民政部办公厅,正常
57,bm13000002,司法部网站,http://www.moj.gov.cn,司法部办公厅,正常
58,bm13000003,中国法律服务网,http://bj.12348.gov.cn,中华人民共和国司法部办公厅,正常
59,bm14000001,中华人民共和国财政部,http://www.mof.gov.cn,中华人民共和国财政部办公厅,正常
60,bm14000002,中国政府采购网,www.ccgp.gov.cn,财政部国库司,正常
61,bm15000001,全国人力资源和社会保障政务服务平台,http://zwfw.mohrss.gov.cn/,人力资源和社会保障部,正常
62,bm15000003,国家专业技术人才知识更新工程,http://zsgx.mohrss.gov.cn,中华人民共和国人力资源和社会保障部,正常
63,bm15000004,世界技能大赛中国组委会官方网站,worldskillschina.mohrss.gov.cn,人力资源社会保障部职业能力建设司,正常
64,bm15000005,中国人力资源市场网,https://chrm.mohrss.gov.cn,人力资源和社会保障部,正常
65,bm15000006,中国就业网,chinajob.mohrss.gov.cn,人力资源和社会保障部,正常
66,bm15000008,中华人民共和国人力资源和社会保障部,http://www.mohrss.gov.cn/,中华人民共和国人力资源和社会保障部,正常
67,bm15000009,中国公共招聘网,http://www.job.mohrss.gov.cn/,人力资源和社会保障部,正常
68,bm15000010,中国人事考试网,http://cpta.mohrss.gov.cn,人力资源和社会保障部办公厅,正常
69,bm15000011,技能人才评价工作网,http://osta.mohrss.gov.cn,人力资源和社会保障部办公厅,正常
70,bm16000001,自然资源部门户网站,http://www.mnr.gov.cn/,自然资源部办公厅,正常
71,bm16000002,中国地质调查局,http://www.cgs.gov.cn,中国地质调查局,正常
72,bm17000002,生态环境部华北督察局,http://hbdc.mee.gov.cn/,中华人民共和国生态环境部,正常
73,bm17000003,生态环境部西南督察局,http://xndc.mee.gov.cn,中华人民共和国生态环境部,正常
74,bm17000004,生态环境部华南督察局,http://hndc.mee.gov.cn/,中华人民共和国生态环境部,正常
75,bm17000005,生态环境部西北督察局,http://xbdc.mee.gov.cn,中华人民共和国生态环境部,正常
76,bm17000006,生态环境部华东督察局,http://hddc.mee.gov.cn/,中华人民共和国生态环境部,正常
77,bm17000007,生态环境部西北核与辐射安全监督站,http://nwro.mee.gov.cn,中华人民共和国生态环境部,正常
78,bm17000008,生态环境部华北核与辐射安全监督站,http://nro.mee.gov.cn/,中华人民共和国生态环境部,正常
79,bm17000009,中华人民共和国生态环境部政府网站,http://www.mee.gov.cn/,中华人民共和国生态环境部,正常
80,bm17000012,生态环境部东北督察局,http://dbdc.mee.gov.cn,中华人民共和国生态环境部,正常
81,bm17000013,生态环境部华南核与辐射安全监督站,http://scro.mee.gov.cn/,中华人民共和国生态环境部,正常
82,bm17000014,生态环境部西南核与辐射安全监督站部门网站,http://swnro.mee.gov.cn/,中华人民共和国生态环境部,正常
83,bm17000015,生态环境部东北核与辐射安全监督站,http://nero.mee.gov.cn/,中华人民共和国生态环境部,正常
84,bm17000016,国家核安全局,http://nnsa.mee.gov.cn/,中华人民共和国生态环境部,正常
85,bm17000017,生态环境部华东核与辐射安全监督站,http://ecro.mee.gov.cn,中华人民共和国生态环境部,正常
86,bm17000018,生态环境部太湖流域东海海域生态环境监督管理局门户网站,http://thdhjg.mee.gov.cn/,中华人民共和国生态环境部,正常
87,bm17000019,生态环境部松辽流域生态环境监督管理局,http://sljg.mee.gov.cn/,中华人民共和国生态环境部,正常
88,bm17000020,生态环境部海河流域北海海域生态环境监督管理局网站,http://hhbhjg.mee.gov.cn,生态环境部办公厅,正常
89,bm17000021,生态环境部长江流域生态环境监督管理局,https://cjjg.mee.gov.cn/,中华人民共和国生态环境部,正常
90,bm17000022,生态环境部黄河流域生态环境监督管理局网站,https://huanghejg.mee.gov.cn,中华人民共和国生态环境部办公厅,正常
91,bm17000023,生态环境部珠江流域南海海域生态环境监督管理局网站,https://zjnhjg.mee.gov.cn/,中华人民共和国生态环境部,正常
92,bm17000024,生态环境部淮河流域生态环境监督管理局网站,https://huaihejg.mee.gov.cn,中华人民共和国生态环境部办公厅,正常
93,bm18000002,中华人民共和国住房和城乡建设部,http://www.mohurd.gov.cn/,住房城乡建设部,正常
94,bm19000001,交通运输部珠江航务管理局政府网站,https://zjhy.mot.gov.cn/,交通运输部珠江航务管理局,正常
95,bm19000004,交通运输部政府网站,http://www.mot.gov.cn/,交通运输部政策研究室,正常
96,bm19000005,交通运输部行政许可网上办理平台,http://xkpt.mot.gov.cn/,交通运输部办公厅,正常
97,bm19010001,中华人民共和国海事局政府网站,https://www.msa.gov.cn/,交通运输部海事局,正常
98,bm19020001,中华人民共和国上海海事局政府网站,www.sh.msa.gov.cn,上海海事局科技信息处,正常
99,bm19030001,中华人民共和国天津海事局政府网站,http://www.tj.msa.gov.cn/,中华人民共和国天津海事局,正常
100,bm19040002,中华人民共和国辽宁海事局政府网站,https://www.ln.msa.gov.cn,中华人民共和国辽宁海事局,正常
101,bm19050001,中华人民共和国河北海事局政府网站,http://www.hb.msa.gov.cn,河北海事局,正常
102,bm19060002,中华人民共和国山东海事局政府网站,https://www.sd.msa.gov.cn,中华人民共和国山东海事局,正常
103,bm19070001,中华人民共和国江苏海事局政府网站,http://www.js.msa.gov.cn/,中华人民共和国江苏海事局,正常
104,bm19080005,中华人民共和国浙江海事局政府网站,http://www.zj.msa.gov.cn/,中华人民共和国浙江海事局,正常
105,bm19090001,中华人民共和国福建海事局政府网站,http://www.fj.msa.gov.cn,福建海事局办公室,正常
106,bm19100001,中华人民共和国广东海事局政府网站,https://www.gd.msa.gov.cn/,中华人民共和国广东海事局,正常
107,bm19110001,中华人民共和国广西海事局政府网站,http://www.gx.msa.gov.cn/,中华人民共和国广西海事局,正常
108,bm19120001,中华人民共和国海南海事局政府网站,http://www.hn.msa.gov.cn/,海南海事局,正常
109,bm19130001,中华人民共和国黑龙江海事局政府网站,https://hlj.msa.gov.cn/,黑龙江海事局,正常
110,bm19140002,中华人民共和国深圳海事局政府网站,https://www.sz.msa.gov.cn/,中华人民共和国深圳海事局办公室,正常
111,bm19170001,中华人民共和国连云港海事局政府网站,www.lyg.msa.gov.cn,连云港海事局,正常
112,bm19400001,交通运输部长江航务管理局网站,https://cjhy.mot.gov.cn,交通运输部长江航务管理局,正常
113,bm19400002,长江三峡通航管理局,https://sxth.mot.gov.cn/,交通运输部长江航务管理局,正常
114,bm19410001,中华人民共和国长江海事局,http://cj.msa.gov.cn/,长江海事局,正常
115,bm20000001,中华人民共和国水利部网站,http://www.mwr.gov.cn/,水利部办公厅,正常
116,bm20010002,长江水利网,http://www.cjw.gov.cn,长江水利委员会,正常
117,bm20020013,黄河网,http://www.yrcc.gov.cn/,黄河水利委员会办公室,正常
118,bm20020018,河南黄河网,http://hnb.yrcc.gov.cn/,黄河水利委员会河南黄河河务局,正常
119,bm20020019,山东黄河网,http://sdb.yrcc.gov.cn/,山东黄河河务局办公室,正常
120,bm20030001,沂沭泗水利网,http://yss.hrc.gov.cn,淮河水利委员会沂沭泗水利管理局,正常
121,bm20030002,淮河水利网,http://www.hrc.gov.cn/,淮河水利委员会,正常
122,bm20040002,海河水利网,http://www.hwcc.gov.cn,水利部海河水利委员会,正常
123,bm20050002,水利部珠江水利委员会网站,http://www.pearlwater.gov.cn/,水利部珠江水利委员会,正常
124,bm20060001,松辽水利网,http://www.slwr.gov.cn/,水利部松辽水利委员会,正常
125,bm20070001,太湖网,http://www.tba.gov.cn/,水利部太湖流域管理局,正常
126,bm21000007,中华人民共和国农业农村部,www.moa.gov.cn,中华人民共和国农业农村部,正常
127,bm22000001,中华人民共和国商务部门户网站,http://www.mofcom.gov.cn,商务部电子商务和信息化司,正常
128,bm23000001,文化和旅游部政府门户网站,http://www.mct.gov.cn,中华人民共和国文化和旅游部办公厅,正常
129,bm23000004,中国文化网,http://www.chinaculture.org/,中华人民共和国文化和旅游部国际交流与合作局（港澳台办公室）,正常
130,bm24000006,中华人民共和国国家卫生健康委员会,http://www.nhc.gov.cn,中华人民共和国国家卫生健康委员会,正常
131,bm24000008,中国老龄协会,http://www.cncaprc.gov.cn/,中华人民共和国国家卫生健康委员会,正常
132,bm25000001,中国人民银行,http://www.pbc.gov.cn/,中国人民银行,正常
133,bm25000033,全国金融标准化技术委员会网站,http://www.cfstc.org/publish/main/index.html,中国人民银行科技司,正常
134,bm26000001,审计署门户网站,http://www.audit.gov.cn,审计署办公厅,正常
135,bm27000004,国务院国有资产监督管理委员会网站,http://www.sasac.gov.cn,国资委信息中心,正常
136,bm28000001,中国海关门户网站,http://www.customs.gov.cn,海关总署办公厅,正常
137,bm28000002,中国电子口岸,http://www.chinaport.gov.cn/,中华人民共和国海关总署,正常
138,bm28020001,中华人民共和国北京海关网站,http://beijing.customs.gov.cn/,北京海关办公室,正常
139,bm28030001,中华人民共和国天津海关网站,http://tianjin.customs.gov.cn,天津海关办公室,正常
140,bm28040001,中华人民共和国石家庄海关网站,http://shijiazhuang.customs.gov.cn,石家庄海关办公室,正常
141,bm28050001,中华人民共和国太原海关网站,http://taiyuan.customs.gov.cn/,太原海关办公室,正常
142,bm28060001,中华人民共和国呼和浩特海关网站,http://huhehaote.customs.gov.cn,呼和浩特海关办公室,正常
143,bm28070001,中华人民共和国满洲里海关网站,http://manzhouli.customs.gov.cn,中华人民共和国满洲里海关办公室,正常
144,bm28080001,中华人民共和国大连海关网站,http://dalian.customs.gov.cn,大连海关办公室,正常
145,bm28090001,中华人民共和国沈阳海关网站,http://shenyang.customs.gov.cn,中华人民共和国沈阳海关办公室,正常
146,bm28100001,中华人民共和国长春海关网站,http://changchun.customs.gov.cn,长春海关办公室,正常
147,bm28110001,中华人民共和国哈尔滨海关网站,http://harbin.customs.gov.cn,中华人民共和国哈尔滨海关办公室,正常
148,bm28120001,中华人民共和国上海海关网站,http://shanghai.customs.gov.cn,上海海关办公室,正常
149,bm28130001,中华人民共和国南京海关网站,http://nanjing.customs.gov.cn/,中华人民共和国南京海关办公室,正常
150,bm28140001,中华人民共和国杭州海关网站,http://hangzhou.customs.gov.cn,中华人民共和国杭州海关办公室,正常
151,bm28150001,中华人民共和国宁波海关网站,http://ningbo.customs.gov.cn,中华人民共和国宁波海关办公室,正常
152,bm28160001,中华人民共和国合肥海关网站,http://hefei.customs.gov.cn,中华人民共和国合肥海关办公室,正常
153,bm28170001,中华人民共和国福州海关网站,http://fuzhou.customs.gov.cn,中华人民共和国福州海关办公室,正常
154,bm28180001,中华人民共和国厦门海关网站,http://xiamen.customs.gov.cn,中华人民共和国厦门海关办公室,正常
155,bm28190001,中华人民共和国南昌海关网站,http://nanchang.customs.gov.cn,中华人民共和国南昌海关办公室,正常
156,bm28200001,中华人民共和国青岛海关网站,http://qingdao.customs.gov.cn,青岛海关办公室,正常
157,bm28210001,中华人民共和国济南海关网站,http://jinan.customs.gov.cn/,济南海关办公室,正常
158,bm28220001,中华人民共和国郑州海关网站,http://zhengzhou.customs.gov.cn,郑州海关办公室,正常
159,bm28230001,中华人民共和国武汉海关网站,http://wuhan.customs.gov.cn/,中华人民共和国武汉海关办公室,正常
160,bm28240001,中华人民共和国长沙海关网站,http://changsha.customs.gov.cn/,长沙海关办公室,正常
161,bm28250001,中华人民共和国广州海关网站,http://guangzhou.customs.gov.cn,中华人民共和国广州海关办公室,正常
162,bm28260001,中华人民共和国深圳海关网站,http://shenzhen.customs.gov.cn,中华人民共和国深圳海关办公室,正常
163,bm28270001,中华人民共和国拱北海关,http://gongbei.customs.gov.cn,中华人民共和国拱北海关办公室,正常
164,bm28280001,中华人民共和国汕头海关网站,http://shantou.customs.gov.cn/,中华人民共和国汕头海关办公室,正常
165,bm28290001,中华人民共和国黄埔海关网站,http://huangpu.customs.gov.cn,黄埔海关办公室,正常
166,bm28300001,中华人民共和国江门海关网站,http://jiangmen.customs.gov.cn,江门海关办公室,正常
167,bm28310001,中华人民共和国湛江海关网站,http://zhanjiang.customs.gov.cn,湛江海关办公室,正常
168,bm28320001,中华人民共和国南宁海关网站,http://nanning.customs.gov.cn,南宁海关办公室,正常
169,bm28330001,中华人民共和国海口海关网站,http://haikou.customs.gov.cn/,海口海关办公室,正常
170,bm28340001,中华人民共和国重庆海关网站,http://chongqing.customs.gov.cn/,中华人民共和国重庆海关办公室,正常
171,bm28350001,中华人民共和国成都海关网站,http://chengdu.customs.gov.cn,成都海关办公室,正常
172,bm28360001,中华人民共和国贵阳海关网站,http://guiyang.customs.gov.cn,贵阳海关办公室,正常
173,bm28370001,中华人民共和国昆明海关网站,http://kunming.customs.gov.cn,昆明海关办公室,正常
174,bm28380001,中华人民共和国拉萨海关网站,http://lasa.customs.gov.cn,拉萨海关办公室,正常
175,bm28390001,中华人民共和国西安海关网站,http://xian.customs.gov.cn,中华人民共和国西安海关办公室,正常
176,bm28400001,中华人民共和国兰州海关网站,http://lanzhou.customs.gov.cn/,中华人民共和国兰州海关办公室,正常
177,bm28410001,中华人民共和国西宁海关网站,http://xining.customs.gov.cn,西宁海关办公室,正常
178,bm28420001,中华人民共和国银川海关网站,http://yinchuan.customs.gov.cn/ ,中华人民共和国银川海关办公室,正常
179,bm28430001,中华人民共和国乌鲁木齐海关网站,http://urumqi.customs.gov.cn,中华人民共和国乌鲁木齐海关办公室,正常
180,bm29000002,国家税务总局网站,http://www.chinatax.gov.cn/,国家税务总局,正常
181,bm29010003,国家税务总局北京市税务局,http://beijing.chinatax.gov.cn/bjswj,国家税务总局北京市税务局第四税务分局,正常
182,bm29020004,国家税务总局天津市税务局网站,http://tianjin.chinatax.gov.cn,国家税务总局天津市税务局办公室,正常
183,bm29030010,国家税务总局河北省税务局,http://hebei.chinatax.gov.cn,国家税务总局河北省税务局,正常
184,bm29040001,国家税务总局山西省税务局,http://shanxi.chinatax.gov.cn,国家税务总局山西省税务局,正常
185,bm29050005,国家税务总局内蒙古自治区税务局,http://neimenggu.chinatax.gov.cn,国家税务总局内蒙古自治区税务局,正常
186,bm29060013,国家税务总局辽宁省税务局,http://liaoning.chinatax.gov.cn,国家税务总局辽宁省税务局,正常
187,bm29070007,国家税务总局吉林省税务局,http://jilin.chinatax.gov.cn,国家税务总局吉林省税务局,正常
188,bm29080012,国家税务总局黑龙江省税务局,http://heilongjiang.chinatax.gov.cn/,国家税务总局黑龙江省税务局,正常
189,bm29090019,国家税务总局上海市税务局网站,shanghai.chinatax.gov.cn,国家税务总局上海市税务局,正常
190,bm29100010,国家税务总局江苏省税务局网站,http://jiangsu.chinatax.gov.cn/,国家税务总局江苏省税务局税收宣传中心,正常
191,bm29110072,国家税务总局浙江省税务局,http://zhejiang.chinatax.gov.cn,国家税务总局浙江省税务局办公室,正常
192,bm29120006,国家税务总局安徽省税务局,http://anhui.chinatax.gov.cn/,国家税务总局安徽省税务局纳税服务和宣传中心,正常
193,bm29130001,国家税务总局福建省税务局,http://fujian.chinatax.gov.cn,国家税务总局福建省税务局,正常
194,bm29140135,国家税务总局江西省税务局,http://jiangxi.chinatax.gov.cn,国家税务总局江西省税务局,正常
195,bm29150011,国家税务总局山东省税务局,http://shandong.chinatax.gov.cn,国家税务总局山东省税务局,正常
196,bm29160021,国家税务总局河南省税务局,http://henan.chinatax.gov.cn,国家税务总局河南省税务局,正常
197,bm29170017,国家税务总局湖北省税务局,http://hubei.chinatax.gov.cn,国家税务总局湖北省税务局 纳税服务和宣传中心,正常
198,bm29180017,国家税务总局湖南省税务局,http://hunan.chinatax.gov.cn,国家税务总局湖南省税务局,正常
199,bm29190001,国家税务总局广东省税务局网站,http://guangdong.chinatax.gov.cn,国家税务总局广东省税务局办公室,正常
200,bm29200024,国家税务总局广西壮族自治区税务局网站,http://guangxi.chinatax.gov.cn/,国家税务总局广西壮族自治区税务局,正常
201,bm29210001,国家税务总局海南省税务局,http://hainan.chinatax.gov.cn/,国家税务总局海南省税务局,正常
202,bm29220015,国家税务总局重庆市税务局,http://chongqing.chinatax.gov.cn/,国家税务总局重庆市税务局,正常
203,bm29230019,国家税务总局四川省税务局网站,http://sichuan.chinatax.gov.cn,国家税务总局四川省税务局办公室,正常
204,bm29240003,国家税务总局贵州省税务局网站,http://guizhou.chinatax.gov.cn/,国家税务总局贵州省税务局,正常
205,bm29250001,国家税务总局云南省税务局,http://yunnan.chinatax.gov.cn,国家税务总局云南省税务局纳税服务和宣传中心,正常
206,bm29260003,国家税务总局西藏自治区税务局网站,https://xizang.chinatax.gov.cn,国家税务总局西藏自治区税务局纳税服务中心（税收宣传中心）,正常
207,bm29270146,国家税务总局陕西省税务局网站,http://shaanxi.chinatax.gov.cn,国家税务总局陕西省税务局,正常
208,bm29280001,国家税务总局甘肃省税务局门户网站,http://gansu.chinatax.gov.cn/,国家税务总局甘肃省税务局,正常
209,bm29290001,国家税务总局青海省税务局,http://qinghai.chinatax.gov.cn/,国家税务总局青海省税务局,正常
210,bm29300003,国家税务总局宁夏回族自治区税务局,http://ningxia.chinatax.gov.cn/,国家税务总局宁夏回族自治区税务局,正常
211,bm29310001,国家税务总局新疆维吾尔自治区税务局网站,http://xinjiang.chinatax.gov.cn/,国家税务总局新疆维吾尔自治区税务局,正常
212,bm29320001,国家税务总局大连市税务局网站,http://dalian.chinatax.gov.cn/,国家税务总局大连市税务局纳税服务中心,正常
213,bm29330003,国家税务总局宁波市税务局网站,http://ningbo.chinatax.gov.cn,国家税务总局宁波市税务局,正常
214,bm29340001,国家税务总局厦门市税务局,http://xiamen.chinatax.gov.cn,国家税务总局厦门市税务局纳税服务中心（税收宣传中心）,正常
215,bm29350001,国家税务总局青岛市税务局网站,http://qingdao.chinatax.gov.cn/,国家税务总局青岛市税务局纳税服务中心（税收宣传中心）,正常
216,bm29360001,国家税务总局深圳市税务局网站,http://shenzhen.chinatax.gov.cn/,国家税务总局深圳市税务局,正常
217,bm30000002,中国商标网（国家知识产权局商标局）,https://sbj.cnipa.gov.cn/,国家知识产权局商标局,正常
218,bm30000012,国家市场监督管理总局,http://www.samr.gov.cn/,市场监管总局办公厅,正常
219,bm30000013,国家企业信用信息公示系统,http://www.gsxt.gov.cn/index.html,国家工商行政管理总局企业监管局,正常
220,bm31360001,中国国家认证认可监督管理委员会,http://www.cnca.gov.cn,国家认证认可监督管理委员会,正常
221,bm31370001,国家标准化管理委员会,www.sac.gov.cn,国家标准化管理委员会,正常
222,bm32000001,国家广播电视总局政府网站,http://www.nrta.gov.cn/,国家广播电视总局办公厅,正常
223,bm33000001,国家体育总局,http://www.sport.gov.cn,国家体育总局办公厅,正常
224,bm34000001,中华人民共和国应急管理部,http://www.mem.gov.cn/,中华人民共和国应急管理部,正常
225,bm34000003,国家矿山安全监察局湖北局门户网站,http://hub.chinamine-safety.gov.cn/,国家矿山安全监察局湖北局,正常
226,bm34000004,国家矿山安全监察局,www.chinamine-safety.gov.cn,国家矿山安全监察局,正常
227,bm34000005,国家矿山安全监察局广西局,http://gx.chinamine-safety.gov.cn/,国家矿山安全监察局广西局,正常
228,bm34000006,国家矿山安全监察局吉林局,http://jl.chinamine-safety.gov.cn/,国家矿山安全监察局吉林局,正常
229,bm34000007,国家矿山安全监察局宁夏局,http://nx.chinamine-safety.gov.cn/,国家矿山安全监察局宁夏局,正常
230,bm34000008,国家矿山安全监察局黑龙江局,https://hlj.chinamine-safety.gov.cn/web/webIndex.shtml,国家矿山安全监察局综合司,正常
231,bm34010001,国家矿山安全监察局河北局网站,https://hb.chinamine-safety.gov.cn,国家矿山安全监察局河北局办公室,正常
232,bm34020001,国家矿山安全监察局山西局政府网站,http://shanxi.chinamine-safety.gov.cn,国家矿山安全监察局山西局,正常
233,bm34030003,国家矿山安全监察局内蒙古局,http://nmg.chinamine-safety.gov.cn/,国家矿山安全监察局内蒙古局,正常
234,bm34040004,国家矿山安全监察局辽宁局政府网站,http://ln.chinamine-safety.gov.cn,国家矿山安全监察局辽宁局,正常
235,bm34080003,国家矿山安全监察局安徽局,http://ah.chinamine-safety.gov.cn/,国家矿山安全监察局安徽局,正常
236,bm34090004,国家矿山安全监察局江西局,http://jx.chinamine-safety.gov.cn,国家矿山安全监察局江西局,正常
237,bm34100003,国家矿山安全监察局山东局,sd.chinamine-safety.gov.cn,国家矿山安全监察局山东局,正常
238,bm34110003,国家矿山安全监察局河南局,http://hn.chinamine-safety.gov.cn,国家矿山安全监察局河南局办公室,正常
239,bm34120002,国家矿山安全监察局湖南局,http://hun.chinamine-safety.gov.cn,国家矿山安全监察局湖南局,正常
240,bm34130005,国家矿山安全监察局重庆局网站,http://cq.chinamine-safety.gov.cn/,国家矿山安全监察局重庆局,正常
241,bm34160004,国家矿山安全监察局云南局,http://yn.chinamine-safety.gov.cn,国家矿山安全监察局云南局,正常
242,bm34170003,国家矿山安全监察局陕西局网站,http://shaanxi.chinamine-safety.gov.cn/,国家矿山安全监察局陕西局,正常
243,bm34180002,国家矿山安全监察局甘肃局政府网站,http://gs.chinamine-safety.gov.cn/web/webIndex.shtml,国家矿山安全监察局甘肃局,正常
244,bm34200001,国家矿山安全监察局新疆局,http://xj.chinamine-safety.gov.cn,国家矿山安全监察局新疆局统计中心,正常
245,bm34300001,江苏省消防救援总队,https://js.119.gov.cn,江苏省消防救援总队,正常
246,bm35000001,国家药品监督管理局,http://www.nmpa.gov.cn,国家药品监督管理局综合和规划财务司,正常
247,bm36000001,国家统计局西安调查队公众网,http://xadcd.xa.gov.cn,国家统计局西安调查队,正常
248,bm36000002,国家统计局网站（中国统计信息网）,www.stats.gov.cn,国家统计局统计资料管理中心,正常
249,bm36000003,国家统计局河南调查总队,http://hazd.stats.gov.cn/,国家统计局河南调查总队,正常
250,bm36000008,国家统计局天津调查总队门户网,http://tjzd.stats.gov.cn/,国家统计局天津调查总队,正常
251,bm36000012,国家统计局安徽调查总队公众服务网,http://ahzd.stats.gov.cn,国家统计局安徽调查总队,正常
252,bm36000031,国家统计局新疆调查总队,http://xjzd.stats.gov.cn/,国家统计局新疆调查总队,正常
253,bm36000038,江苏调查总队,https://jszd.stats.gov.cn,国家统计局江苏调查总队,正常
254,bm36000046,浙江调查总队,http://zjzd.stats.gov.cn/,国家统计局浙江调查总队,正常
255,bm36000050,国家统计局广东调查总队公众网,http://gdzd.stats.gov.cn/,国家统计局广东调查总队,正常
256,bm36000054,国家统计局陕西调查总队门户网站,http://snzd.stats.gov.cn,国家统计局陕西调查总队,正常
257,bm36000055,湖南国调信息网,http://hnzd.stats.gov.cn,国家统计局湖南调查总队,正常
258,bm36000066,国家统计局云南调查总队,http://ynzd.stats.gov.cn ,国家统计局云南调查总队,正常
