序号,网站标识码,网站名称,首页网址,网站主管单位,网站状态
397,bm64020001,天津市烟草专卖局（中国烟草总公司天津市公司）,http：//tj.tobacco.gov.cn,天津市烟草专卖局,正常
398,bm64030001,河北省烟草专卖局 中国烟草总公司河北省公司,http://he.tobacco.gov.cn,河北省烟草专卖局,正常
399,bm64040009,山西省烟草专卖局（公司）,http://sx.tobacco.gov.cn,中国烟草总公司山西省公司,正常
400,bm64050001,内蒙古自治区烟草专卖局政府网站,http://nm.tobacco.gov.cn,内蒙古自治区烟草专卖局,正常
401,bm64060001,辽宁省烟草专卖局(公司)网站,http://ln.tobacco.gov.cn/serviceweb/,辽宁省烟草专卖局 办公室,正常
402,bm64070001,吉林省烟草专卖局,http://jl.tobacco.gov.cn,吉林省烟草专卖局,正常
403,bm64080001,黑龙江省烟草专卖局（公司）,"http://hl.tobacco.gov.cn,http://hlj.tobacco.gov.cn",黑龙江省烟草专卖局（公司）,正常
404,bm64090001,上海市烟草专卖局网站,http://www.sh.tobacco.gov.cn/,上海市烟草专卖局,正常
405,bm64100010,江苏省烟草专卖局（中国烟草总公司江苏省公司）,http://js.tobacco.gov.cn/,江苏省烟草专卖局,正常
406,bm64110001,浙江烟草政务网, https://zjyc.tobacco.gov.cn/,浙江省烟草专卖局,正常
407,bm64120017,安徽省烟草专卖局（公司）外部网站,http://ah.tobacco.gov.cn/,安徽省烟草专卖局（公司）办公室,正常
408,bm64130001,福建烟草网,fj.tobacco.gov.cn,福建省烟草专卖局（公司）,正常
409,bm64140001,江西省烟草专卖局外部网站,http://jx.tobacco.gov.cn/,江西省烟草专卖局,正常
410,bm64150002,山东省烟草专卖局（公司)网站,sd.tobacco.gov.cn,山东省烟草专卖局（公司）,正常
411,bm64160001,河南省烟草专卖局,https://ha.tobacco.gov.cn,河南省烟草专卖局,正常
412,bm64170002,湖北省烟草专卖局,https://hb.tobacco.gov.cn/,湖北省烟草专卖局,正常
413,bm64180001,湖南省烟草专卖局（公司）门户网站,hn.tobacco.gov.cn,湖南省烟草专卖局（公司）,正常
414,bm64190001,广东省烟草专卖局（中国烟草总公司广东省公司）网站,https://gd.tobacco.gov.cn/index.html,广东省烟草专卖局,正常
415,bm64200001,海南省烟草专卖局（公司）,https://hi.tobacco.gov.cn,海南省烟草专卖局（公司）,正常
416,bm64210003,广西壮族自治区烟草专卖局（公司）,http://gx.tobacco.gov.cn/gxwwcms/index/index.htm,广西壮族自治区烟草专卖局（公司）办公室,正常
417,bm64220001,四川省烟草专卖局（公司）外部网站,http://sc.tobacco.gov.cn,四川省烟草专卖局（公司）,正常
418,bm64230001,重庆市烟草专卖局网站,cq.tobacco.gov.cn,重庆市烟草专卖局（公司）,正常
419,bm64240002,贵州省烟草专卖局（公司）,http://gz.tobacco.gov.cn/,国家烟草专卖局,正常
420,bm64250001,云南烟草网站,http://yn.tobacco.gov.cn,云南省烟草专卖局（公司）,正常
421,bm64270001,陕西省烟草专卖局,http://sn.tobacco.gov.cn/,陕西省烟草专卖局,正常
422,bm64280001,甘肃省烟草专卖局（公司）,http://gs.tobacco.gov.cn,甘肃省烟草专卖局（公司）,正常
423,bm64290006,宁夏回族自治区烟草专卖局（公司）外网,https://nx.tobacco.gov.cn,宁夏回族自治区烟草专卖局（公司）,正常
424,bm64310001,大连烟草外网,http://dl.tobacco.gov.cn,中国烟草总公司大连市公司,正常
425,bm64320001,深圳市烟草专卖局（公司）外部网站,http://sz.tobacco.gov.cn/index/index.jsp,深圳市烟草专卖局（公司）,正常
426,bm64330001,青海省烟草专卖局门户网站,http://qh.tobacco.gov.cn,青海省烟草专卖局（公司）,正常
427,bm67000001,国家海洋局极地考察办公室官方网站,chinare.mnr.gov.cn,国家海洋局极地考察办公室,正常
428,bm67010001,自然资源部东海局网站,http://ecs.mnr.gov.cn/,自然资源部东海局,正常
429,bm67020001,自然资源部北海局互联网网站,ncs.mnr.gov.cn,自然资源部北海局,正常
430,bm67030001,自然资源部南海局政务网站,http://scs.mnr.gov.cn,自然资源部南海局,正常
431,bm68000002,四川测绘地理信息局,http://scsm.mnr.gov.cn/,四川测绘地理信息局,正常
432,bm68000003,黑龙江(省)测绘地理信息局,http://hlsm.mnr.gov.cn,黑龙江测绘地理信息局,正常
433,bm68000004,海南测绘地理信息局,http://hism.mnr.gov.cn/,海南测绘地理信息局,正常
434,bm68000005,陕西测绘地理信息局,http://snsm.mnr.gov.cn/,陕西测绘地理信息局,正常
435,bm69000001,国家铁路局,http://www.nra.gov.cn,国家铁路局,正常
436,bm70000001,中国民用航空局,http://www.caac.gov.cn/,中国民用航空局综合司,正常
437,bm70010001,中国民用航空华北地区管理局,http://hb.caac.gov.cn/,中国民用航空华北地区管理局办公室,正常
438,bm70020001,中国民用航空东北地区管理局,http://db.caac.gov.cn,中国民用航空东北地区管理局办公室,正常
439,bm70030001,中国民用航空华东地区管理局,http://hd.caac.gov.cn,中国民用航空华东地区管理局办公室,正常
440,bm70040001,中国民用航空中南地区管理局,http://zn.caac.gov.cn/,中国民用航空中南地区管理局办公室,正常
441,bm70050001,中国民用航空西南地区管理局,http://xn.caac.gov.cn/,中国民用航空西南地区管理局办公室,正常
